time,ltp
13:57:10,22115.85
13:57:10,22115.45
13:57:11,22112.55
13:57:11,22112.35
13:57:12,22113.7
13:57:12,22111.55
13:57:13,22113.4
13:57:13,22112.75
13:57:14,22112.1
13:57:14,22112.95
13:57:15,22112.15
13:57:15,22112.55
13:57:16,22112.35
13:57:16,22112.35
13:57:17,22112.6
13:57:17,22112.4
13:57:18,22111.25
13:57:18,22112.75
13:57:19,22115.65
13:57:19,22114.75
13:57:20,22113.95
13:57:20,22113.6
13:57:21,22113.2
13:57:21,22114.0
13:57:22,22115.0
13:57:22,22115.65
13:57:23,22114.5
13:57:23,22114.35
13:57:24,22114.6
13:57:24,22113.9
13:57:25,22113.6
13:57:25,22113.15
13:57:26,22113.15
13:57:26,22113.5
13:57:27,22113.2
13:57:27,22112.9
13:57:28,22113.85
13:57:28,22115.05
13:57:29,22113.4
13:57:29,22112.95
13:57:30,22112.9
13:57:30,22113.55
13:57:31,22112.1
13:57:31,22113.5
13:57:32,22114.2
13:57:32,22112.9
13:57:33,22112.35
13:57:33,22112.3
13:57:34,22113.0
13:57:34,22114.6
13:57:35,22114.1
13:57:35,22113.85
13:57:36,22114.1
13:57:36,22113.25
13:57:37,22113.3
13:57:37,22114.55
13:57:38,22113.95
13:57:38,22113.3
13:57:39,22112.95
13:57:39,22113.2
13:57:40,22113.1
13:57:40,22112.8
13:57:41,22112.55
13:57:41,22112.45
13:57:42,22112.3
13:57:42,22111.6
13:57:43,22111.9
13:57:43,22113.85
13:57:44,22112.85
13:57:44,22112.8
13:57:45,22112.7
13:57:45,22111.8
13:57:46,22112.1
13:57:46,22112.15
13:57:47,22112.05
13:57:47,22113.15
13:57:48,22112.2
13:57:48,22111.4
13:57:49,22111.1
13:57:49,22111.15
13:57:50,22111.2
13:57:50,22111.15
13:57:51,22108.55
13:57:51,22109.05
13:57:52,22110.6
13:57:52,22112.75
13:57:53,22112.85
13:57:53,22111.1
13:57:54,22110.7
13:57:54,22111.7
13:57:55,22110.4
13:57:55,22110.75
13:57:56,22112.75
13:57:56,22112.1
13:57:57,22112.2
13:57:57,22115.9
13:57:58,22114.85
13:57:58,22113.85
13:57:59,22112.85
13:57:59,22114.5
13:58:00,22112.55
13:58:00,22115.35
13:58:01,22112.9
13:58:01,22113.65
13:58:02,22115.45
13:58:02,22113.9
13:58:03,22114.4
13:58:03,22113.8
13:58:04,22114.95
13:58:04,22115.0
13:58:05,22115.15
13:58:05,22115.45
13:58:06,22115.45
13:58:06,22115.2
13:58:07,22114.75
13:58:07,22113.9
13:58:08,22113.2
